time,vx,vy,vz,wx,wy,wz,x,y,z,phi,theta,psi,vxdot,vydot,vzdot,wxdot,wydot,wzdot,xdot,ydot,zdot,phidot,thetadot,psidot,fx,fy,fz,tauz,x_ref,y_ref,z_ref,psi_ref,x_error,y_error,z_error,psi_error,v_fx,v_fy,v_fz,v_tz,solve_time,metadata
0.01,0.0,0.0004772054139974106,0.0009258025955716522,-0.0037084502000711166,0.0,0.0,1.5,1.0,-1.5,0.0,0.0,0.0,0.0,0.04772054139974106,0.09258025955716521,-0.37084502000711167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010500000000000002,0.01660889856455544,0.0,1.5,1.0,-1.5,0.0,1.5,0.9995227945860026,-1.5009258025955716,0.0037084502000711166,0.0,0.0,0.0,0.0,48663949,2500.0
0.02,0.0,0.0009542105270671121,0.001849149832318531,-0.007411863027048871,0.0,0.0,1.5,1.00000477205414,-1.4999907419740444,-3.708450200071117e-05,0.0,0.0,0.0,0.04770051130697015,0.09233472367468788,-0.37034128269777544,0.0,0.0,0.0,0.0004772054139974106,0.0009258025955716522,-0.0037084502000711166,0.0,0.0,0.0,0.010500000000000002,0.01660889856455544,0.0,1.5,1.0021991003879456,-1.498900444379942,0.0,1.5,1.0012448898608786,-1.5007495942122606,0.007411863027048871,0.0,-0.07880427674186492,0.0,0.0,48663949,0.01
0.03,0.0,0.0017651268600807123,0.0034811804345370395,-0.013702332946130267,0.0,0.0,1.5,1.0000143148451521,-1.499972250829598,-0.00011120313227119988,0.0,0.0,0.0,0.08109163330136002,0.16320306022185083,-0.6290469919081396,0.0,0.0,0.0,0.0009542791012116087,0.0018491144446248077,-0.007411863027048871,0.0,0.0,0.0,0.01785,0.029365832192290386,0.0,1.5,1.0043981139591733,-1.4978008996120544,0.0,1.5,1.0026329870990927,-1.5012820800465914,0.013702332946130267,0.0,-0.0775288054398865,0.0,0.0,63495356,"[[20]
 [30]
 [30]
 [30]]"
0.04,0.0,0.002575685063435327,0.005109054236920308,-0.019976640863005588,0.0,0.0,1.5,1.0000319699848255,-1.4999374409883444,-0.00024822646173250254,0.0,0.0,0.0,0.08105582033546149,0.1627873802383268,-0.6274307916875318,0.0,0.0,0.0,0.0017655139673343361,0.0034809841253773707,-0.013702332946130267,0.0,0.0,0.0,0.01785,0.029365832192290386,0.0,1.5,1.006596953900393,-1.4967013765483996,0.0,1.5,1.0040212688369576,-1.50181043078532,0.019976640863005588,0.0,-0.07688470909745493,0.0,0.0,63495356,0
0.05,0.0,0.0036197378789914955,0.007266779586708631,-0.02804547716960039,0.0,0.0,1.5,1.0000577395166907,-1.499886356841081,-0.0004479928703625584,0.0,0.0,0.0,0.10440528155561685,0.21577253497883228,-0.8068836306594803,0.0,0.0,0.0,0.002576953186526144,0.005108414726336336,-0.019976640863005588,0.0,0.0,0.0,0.022995,0.03894351092894326,0.0,1.5,1.0087955334051681,-1.4956018860408267,0.0,1.5,1.0051757955261766,-1.5028686656275354,0.02804547716960039,0.0,-0.07657365430260661,0.0,0.0,66590634,0
0.06,0.0,0.0046631106324139405,0.009419345234357153,-0.03608286513007927,0.0,0.0,1.5,1.0000939694465016,-1.499813705268673,-0.0007284476420585623,0.0,0.0,0.0,0.10433727534224455,0.21525656476485222,-0.8037387960478888,0.0,0.0,0.0,0.003622992981091575,0.007265157240787861,-0.02804547716960039,0.0,0.0,0.0,0.022995,0.03894351092894326,0.0,1.5,1.010993765677345,-1.4945024389408628,0.0,1.5,1.006330655044931,-1.50392178417522,0.03608286513007927,0.0,-0.07643740790904005,0.0,0.0,66590634,0
0.07,0.0,0.0058694261143104635,0.011958674167060722,-0.045352563569279886,0.0,0.0,1.5,1.000140669155446,-1.499719545809637,-0.001089276293359355,0.0,0.0,0.0,0.12063154818965233,0.25393289327035684,-0.9269698439200614,0.0,0.0,0.0,0.004669970894425762,0.009415945903591152,-0.03608286513007927,0.0,0.0,0.0,0.026596500000000002,0.045970702487357795,0.0,1.5,1.013191563934477,-1.493403046099607,0.0,1.5,1.0073221378201667,-1.5053617202666678,0.045352563569279886,0.0,-0.07638905050699224,0.0,0.0,70670108,0
0.08,0.0,0.007074548311484446,0.0144924079115311,-0.054572720063258556,0.0,0.0,1.5,1.000199493644745,-1.4996000230731672,-0.001542801929052154,0.0,0.0,0.0,0.12051221971739823,0.2533733744470378,-0.9220156493978673,0.0,0.0,0.0,0.005882448929900915,0.011952273646983768,-0.045352563569279886,0.0,0.0,0.0,0.026596500000000002,0.045970702487357795,0.0,1.5,1.0153888414112526,-1.4923037183676233,0.0,1.5,1.0083142930997682,-1.5067961262791545,0.054572720063258556,0.0,-0.07637844678905098,0.0,0.0,70670108,0
0.09,0.0,0.008392916777548637,0.017300544267974418,-0.06462430255417585,0.0,0.0,1.5,1.0002704626327243,-1.4994552083127533,-0.0020885291296847395,0.0,0.0,0.0,0.131836846606419,0.28081363564433187,-1.0051582490917292,0.0,0.0,0.0,0.007096898797945088,0.014481476041393786,-0.054572720063258556,0.0,0.0,0.0,0.02911755,0.050988790804566225,0.0,1.5,1.0175855113629193,-1.4912044665948319,0.0,1.5,1.0091925945853706,-1.5085050108628062,0.06462430255417585,0.0,-0.07637479750368104,0.0,0.0,70488450,0
0.1,0.0,0.009709432122848478,0.020103078545712944,-0.07460640788719433,0.0,0.0,1.5,1.0003547529440964,-1.4992823785357785,-0.0027347721552264982,0.0,0.0,0.0,0.13165153452998418,0.2802534277738525,-0.9982105333018481,0.0,0.0,0.0,0.00842903113719203,0.01728297769747005,-0.06462430255417585,0.0,0.0,0.0,0.02911755,0.050988790804566225,0.0,1.5,1.0197814870687085,-1.4901053016304044,0.0,1.5,1.01007205494586,-1.5102083801761175,0.07460640788719433,0.0,-0.07635777968448329,0.0,0.0,70488450,0
0.11,0.0,0.011104099191383289,0.02309294390302232,-0.08513212356082205,0.0,0.0,1.5,1.000452396674951,-1.4990816140325884,-0.0034808362340984413,0.0,0.0,0.0,0.139466706853481,0.2989865357309377,-1.0525715673627718,0.0,0.0,0.0,0.009764373085465003,0.020076450318996943,-0.07460640788719433,0.0,0.0,0.0,0.030882285000000002,0.05444413971145079,0.0,1.5,1.0219766818352596,-1.489006234322655,0.0,1.5,1.0108725826438762,-1.5120991782256774,0.08513212356082205,0.0,-0.07631302047084038,0.0,0.0,68911662,0
