time,vx,vy,vz,wx,wy,wz,x,y,z,phi,theta,psi,vxdot,vydot,vzdot,wxdot,wydot,wzdot,xdot,ydot,zdot,phidot,thetadot,psidot,fx,fy,fz,tauz,x_ref,y_ref,z_ref,psi_ref,x_error,y_error,z_error,psi_error,v_fx,v_fy,v_fz,v_tz,solve_time,metadata
0.01,-0.00027299888587091866,0.0004772054139974106,3.317066683542856e-08,-0.0037084502000711166,-0.0021215240716709344,0.0,2.3,1.0,-1.5,0.0,0.0,0.0,-0.027299888587091866,0.04772054139974106,3.317066683542856e-06,-0.37084502000711167,-0.21215240716709344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006006822675444753,0.010500000000000002,5.950817630275884e-07,0.0,2.3,1.0,-1.5,0.0,2.3002729988858706,0.9995227945860026,-1.5000000331706669,0.0037084502000711166,0.0,0.0,0.0,0.0,52444023,2500.0
0.02,-0.0005459038869996484,0.0009542467163094514,9.506102530973757e-08,-0.007411855445235609,-0.004240162033862849,2.2736453875362384e-23,2.2999972700111413,1.00000477205414,-1.4999999996682933,-3.708450200071117e-05,-2.1215240716709345e-05,0.0,-0.027290500112872967,0.04770413023120408,6.189035847430901e-06,-0.3703405245164492,-0.21186379621919144,2.2736453875362384e-21,-0.00027299888587091866,0.0004772054139974106,3.317066683542856e-08,-0.0037084502000711166,-0.0021215240716709344,0.0,-0.006006822675444753,0.010500000000000002,5.950817630275884e-07,0.0,2.2999929816249103,1.0033510223643232,-1.5,0.0,2.30053888551191,1.0023967756480137,-1.5000000950610253,0.007411855445235609,0.0,-0.14257234104642597,0.0,0.0,52444023,0.01
0.03,-0.001048337675784881,0.0017653074865066083,9.66902530572927e-05,-0.013702295126201976,-0.008137537685878117,-0.00028953720882444236,2.29999181097226,1.0000143145213318,-1.4999999991873756,-0.00011120305648642701,-6.36168610261812e-05,1.5724429742747116e-09,-0.05024337887852326,0.08110607701971567,0.009659519203198295,-0.6290439680966368,-0.3897375652015268,-0.028953720882444238,-0.0005459038881427791,0.0009542467191785733,4.8091778608886934e-08,-0.007411855448571585,-0.004240162030947185,1.5724429742747116e-07,-0.011057474443249272,0.01785,0.0017308570071297416,-0.0001685396092567079,2.2999719266227845,1.0067019859318165,-1.5,0.0,2.3010202642985695,1.0049366784453098,-1.5000966902530573,0.013702295126201976,0.0,-0.1462569168673504,0.0,0.0,68549210,"[[20]
 [30]
 [30]
 [30]]"
0.04,-0.0015507565473691057,0.0025763505189548997,0.00019331307094615013,-0.019976500405481927,-0.012025220395916006,-0.0005786456578584594,2.299981327534109,1.0000319677035938,-1.4999990349148484,-0.000248225824129645,-0.00014499255935603877,-2.884750442597735e-06,-0.050241887158422455,0.08110430324482912,0.009662281788885741,-0.627420527927995,-0.38876827100378897,-0.028910844903401692,-0.0010483438150812536,0.0017653182261947958,9.642725272427326e-05,-0.0137022767643218,-0.008137569832985756,-0.00028863228855720096,-0.011057474443249272,0.01785,0.0017308570071297416,-0.0001685396092567079,2.299936835363053,1.0100528319066822,-1.5,0.0,2.3014875919104223,1.0074764813877273,-1.5001933130709462,0.019976500405481927,0.0,-0.14907791892222613,0.0,0.0,68549210,0
0.05,-0.0022476183437690244,0.003621426494378521,0.0004297607066404337,-0.02804511929943036,-0.017409231047048095,-0.0012950768368360124,2.299965819763759,1.0000577317325787,-1.4999971104278675,-0.0004479899935193201,-0.0002652461959584036,-8.641357201298489e-06,-0.06968617963999187,0.10450759754236211,0.02364476356942836,-0.8068618893948432,-0.538401065113209,-0.07164311789775529,-0.0015507770350262871,0.0025764028984939327,0.00019244869808108215,-0.019976416938967505,-0.012025363660236486,-0.0005756606758700754,-0.015332968096662817,0.022995,0.004235729750924687,-0.0004175333818399075,2.299887708461424,1.013403501495185,-1.5,0.0,2.3021353268051934,1.0097820750008064,-1.5004297607066404,0.02804511929943036,0.0,-0.1513829581631435,0.0,0.0003410093895171029,71590822,0
0.06,-0.002944679113426079,0.004666781997667348,0.0006664404524797636,-0.036082081708383805,-0.02277347379107577,-0.002010447092129871,2.299943342758449,1.0000939481134066,-1.4999928350067329,-0.0007284377720588218,-0.0004393442907735971,-2.151413311248608e-05,-0.06970607696570547,0.10453555032888268,0.023667974583932994,-0.8036962408953447,-0.5364242744027675,-0.07153702552938582,-0.0022477005309726964,0.0036216380827855006,0.000427542113467922,-0.028044777853950178,-0.017409809481519347,-0.001287277591118759,-0.015332968096662817,0.022995,0.004235729750924687,-0.0004175333818399075,2.2998245467798766,1.0167539359066855,-1.5,0.0,2.302769225893303,1.0120871539090182,-1.5006664404524797,0.036082081708383805,0.0,-0.15338562726945168,0.0,0.0006053373048501172,71590822,0
0.07,-0.003807311030787331,0.005876348258120395,0.0010566688097267012,-0.04535107879129098,-0.02939603275534864,-0.00302494694077189,2.2999138940612536,1.0001406214091793,-1.499986217536495,-0.0010892498292429964,-0.0006670936131185846,-4.145271005372461e-05,-0.08626319173612518,0.12095662604530462,0.03902283572469375,-0.9268997082907179,-0.6622558964272872,-0.10144998486420191,-0.0029448697195493677,0.004667329577274544,0.0006617470237792776,-0.036081205718417456,-0.022774932234498745,-0.001993857694123853,-0.018967394641246332,0.0265965,0.006980937255554486,-0.0005922733672879352,2.2997473514266398,1.02010407635467,-1.5,0.0,2.3035546624574272,1.0142277280965497,-1.5010566688097267,0.04535107879129098,0.0,-0.15519643572106653,0.0,0.0008043493525021504,69260389,0
0.08,-0.004670441076604852,0.007086529999005839,0.0014476028469600475,-0.05457013609382925,-0.03598603388963878,-0.004037944472166822,2.299875816389565,1.0001993979451342,-1.4999757402634308,-0.0015427406515378956,-0.0009610867155081116,-7.138197200266751e-05,-0.08631300458175212,0.12101817408854446,0.039093403723334634,-0.9219057302538267,-0.6590001134290137,-0.1012997531394932,-0.0038077671688399937,0.005877653595490596,0.0010477273064301836,-0.04534908222948991,-0.029399310238952713,-0.00299292619489429,-0.018967394641246332,0.0265965,0.006980937255554486,-0.0005922733672879352,2.29965612375618,1.0234538640577826,-1.5,0.0,2.304326564832785,1.0163673340587767,-1.50144760284696,0.05457013609382925,0.0004304309324631231,-0.15688099252150992,0.0,0.00094764488085719,69260389,0
0.09,-0.005673977020557396,0.0084121527227011,0.001990134248776006,-0.06462013613886262,-0.043622177125938896,-0.005259574173191641,2.2998291032529536,1.000270288828198,-1.4999614184725407,-0.002088403737930113,-0.001321008921148163,-0.00011120621611093346,-0.10035359439525439,0.1325622723695261,0.054253140181595876,-1.0050000045033372,-0.7636143236300117,-0.12216297010248187,-0.00467131366113908,0.007089088306379108,0.0014321790890069656,-0.05456630863922172,-0.03599222056400514,-0.003982424410826595,-0.022040855406416354,0.029117550000000002,0.009680668679692807,-0.0007145913571015547,2.2995508653691714,1.0268032402408571,-1.5,0.0,2.305224842389729,1.018391087518156,-1.501990134248776,0.06462013613886262,0.0007557227597857971,-0.1584779672763058,0.0,0.0010366264680996896,70692951,0
0.1,-0.006678350548628851,0.009738702257908223,0.002534101811177358,-0.0746000422880151,-0.051210745064767985,-0.0064793948297184635,2.2997723468343327,1.0003544580461747,-1.4999417678239684,-0.0027345368234342306,-0.0017573395821962883,-0.00016289088172764788,-0.10043735280714551,0.13265495352071227,0.054396756240135194,-0.9979906149152478,-0.7588567938829088,-0.12198206565268227,-0.005675641862078497,0.008416921797681848,0.001965064857235623,-0.06461330855041177,-0.043633066104812525,-0.005168466561671441,-0.022040855406416354,0.029117550000000002,0.009680668679692807,-0.0007145913571015547,2.2994315781124715,1.0301521461359475,-1.5,0.0,2.3061099286611,1.0204134438780392,-1.5025341018111773,0.0746000422880151,0.0009662119381711534,-0.16000826867699805,0.0,0.0010794593778754643,70692951,0
