time,vx,vy,vz,wx,wy,wz,x,y,z,phi,theta,psi,vxdot,vydot,vzdot,wxdot,wydot,wzdot,xdot,ydot,zdot,phidot,thetadot,psidot,fx,fy,fz,tauz,x_ref,y_ref,z_ref,psi_ref,x_error,y_error,z_error,psi_error,v_fx,v_fy,v_fz,v_tz,solve_time,metadata
0.01,0.0,0.0004772054139974106,0.0017933972523264828,-0.0037084502000711166,0.0,0.0,1.5,1.0,-1.5,0.0,0.0,0.0,0.0,0.04772054139974106,0.17933972523264827,-0.37084502000711167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010500000000000002,0.032173546706737104,0.0,1.5,1.0,-1.5,0.0,1.5,0.9995227945860026,-1.5017933972523265,0.0037084502000711166,0.0,0.0,0.0,0.0,47019877,2500.0
0.02,0.0,0.0009541766119339904,0.0035820178223318583,-0.007411870132425758,0.0,0.0,1.5,1.00000477205414,-1.4999820660274767,-3.708450200071117e-05,0.0,0.0,0.0,0.04769711979365798,0.17886205700053753,-0.37034199323546413,0.0,0.0,0.0,0.0004772054139974106,0.0017933972523264828,-0.0037084502000711166,0.0,0.0,0.0,0.010500000000000002,0.032173546706737104,0.0,1.5,1.001099555620058,-1.4978008996120544,0.0,1.5,1.0001453790081238,-1.5013829174343862,0.007411870132425758,0.0,-0.023747808814503772,0.0,0.0,47019877,0.01
0.03,0.0,0.0017649575833781125,0.006660701149783316,-0.01370236838797527,0.0,0.0,1.5,1.0000143151486263,-1.4999462462031297,-0.00011120320332496874,0.0,0.0,0.0,0.08107809714441222,0.30786833274514575,-0.629049825554951,0.0,0.0,0.0,0.0009543094486249382,0.0035819824347042887,-0.007411870132425758,0.0,0.0,0.0,0.01785,0.05540195978778032,0.0,1.5,1.0021991003879456,-1.4956018860408267,0.0,1.5,1.0004341428045675,-1.50226258719061,0.01370236838797527,0.0,-0.02077032497244527,0.0,0.0,61989868,"[[20]
 [30]
 [30]
 [30]]"
0.04,0.0,0.002575056671431715,0.009731357015720643,-0.019976772394315126,0.0,0.0,1.5,1.000031972131264,-1.499879641154733,-0.0002482268872047214,0.0,0.0,0.0,0.08100990880536026,0.3070655865937326,-0.6274404006339854,0.0,0.0,0.0,0.001765698263767965,0.006660504839663094,-0.01370236838797527,0.0,0.0,0.0,0.01785,0.05540195978778032,0.0,1.5,1.0032986234516004,-1.493403046099607,0.0,1.5,1.0007235667801686,-1.5031344031153278,0.019976772394315126,0.0,-0.018991840486038147,0.0,0.0,61989868,0
0.05,0.0,0.0036181366082697628,0.013709024992139421,-0.028045812132894386,0.0,0.0,1.5,1.0000577468530294,-1.4997823339795568,-0.0004479946111478727,0.0,0.0,0.0,0.10430799368380475,0.3977667976418778,-0.8069039738579262,0.0,0.0,0.0,0.0025774721765340967,0.009730717517618778,-0.019976772394315126,0.0,0.0,0.0,0.022995,0.07181515424603781,0.0,1.5,1.0043981139591733,-1.4912044665948319,0.0,1.5,1.0007799773509036,-1.5049134915869713,0.028045812132894386,0.0,-0.017742762112318046,0.0,0.0,61123509,0
0.06,0.0,0.004659606012110398,0.017676663558462723,-0.03608359783645174,0.0,0.0,1.5,1.0000939896311725,-1.4996452599524488,-0.0007284527324768166,0.0,0.0,0.0,0.10414694038406351,0.3967638566323302,-0.8037785703557356,0.0,0.0,0.0,0.0036242778143063944,0.013707402710795784,-0.028045812132894386,0.0,0.0,0.0,0.022995,0.07181515424603781,0.0,1.5,1.0054975610591372,-1.489006234322655,0.0,1.5,1.0008379550470268,-1.5066828978811178,0.03608359783645174,0.0,-0.016714653829202102,0.0,0.0,61123509,0
0.07,0.0,0.005862783335088082,0.022262751108097962,-0.045353951346371074,0.0,0.0,1.5,1.000140714445058,-1.4994685273067885,-0.001089288710841334,0.0,0.0,0.0,0.12031773229776838,0.458608754963524,-0.9270353509919327,0.0,0.0,0.0,0.004672481388547324,0.017673264566029058,-0.03608359783645174,0.0,0.0,0.0,0.026596500000000002,0.08308592412626237,0.0,1.5,1.006596953900393,-1.486808436065523,0.0,1.5,1.0007341705653048,-1.5090711871736209,0.045353951346371074,0.0,-0.015763069700124865,0.0,0.0,62991863,0
0.08,0.0,0.007062984253172172,0.02683776559169435,-0.0545751340747952,0.0,0.0,1.5,1.000199584749213,-1.4992459637904112,-0.0015428282243050448,0.0,0.0,0.0,0.12002009180840902,0.45750144835963863,-0.9221182728424128,0.0,0.0,0.0,0.005887030415504521,0.022256351637728686,-0.045353951346371074,0.0,0.0,0.0,0.026596500000000002,0.08308592412626237,0.0,1.5,1.0076962816323767,-1.4846111585887474,0.0,1.5,1.0006332973792045,-1.5114489241804416,0.0545751340747952,0.0,-0.014819841662519873,0.0,0.0,62991863,0
0.09,0.0,0.008374259139936484,0.03181535263742362,-0.06462819373154846,0.0,0.0,1.5,1.0002706285681422,-1.4989776954235776,-0.0020885795650529967,0.0,0.0,0.0,0.13112748867643126,0.4977587045729273,-1.0053059656753263,0.0,0.0,0.0,0.007104381892901826,0.02682683668334938,-0.0545751340747952,0.0,0.0,0.0,0.029117550000000002,0.09050141700003195,0.0,1.5,1.0087955334051681,-1.4824144886370807,0.0,1.5,1.0004212742652316,-1.5142298412745043,0.06462819373154846,0.0,-0.013852708763553032,0.0,0.0,61350068,0
0.1,0.0,0.009680899840978282,0.036781527792487,-0.07461235235420388,0.0,0.0,1.5,1.0003550354653628,-1.4986597174940601,-0.0027348615023684813,0.0,0.0,0.0,0.13066407010417966,0.49661751550633787,-0.9984158622655417,0.0,0.0,0.0,0.008440689722058059,0.03179779295175015,-0.06462819373154846,0.0,0.0,0.0,0.029117550000000002,0.09050141700003195,0.0,1.5,1.0098946983695956,-1.4802185129312915,0.0,1.5,1.0002137985286172,-1.5170000407237785,0.07461235235420388,0.0,-0.012846358976444075,0.0,0.0,61350068,0
