time,vx,vy,vz,wx,wy,wz,x,y,z,phi,theta,psi,vxdot,vydot,vzdot,wxdot,wydot,wzdot,xdot,ydot,zdot,phidot,thetadot,psidot,fx,fy,fz,tauz,x_ref,y_ref,z_ref,psi_ref,x_error,y_error,z_error,psi_error,v_fx,v_fy,v_fz,v_tz,solve_time,metadata
0.01,0.0003181369426649403,0.0004772054139974106,3.879447267444337e-08,-0.0037084502000711166,0.002472300133380744,0.0,1.5,1.0,-1.5,0.0,0.0,0.0,0.03181369426649403,0.04772054139974106,3.879447267444337e-06,-0.37084502000711167,0.2472300133380744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007000000000000001,0.010500000000000002,6.959728397795141e-07,0.0,1.5,1.0,-1.5,0.0,1.499681863057335,0.9995227945860026,-1.5000000387944727,0.0037084502000711166,0.0,0.0,0.0,0.0,49028962,2500.0
0.02,0.0006361644773930741,0.0009542467160896112,1.0883677955489265e-07,-0.007411855445281666,0.00494123696352111,-2.2736453875362384e-23,1.5000031813694266,1.00000477205414,-1.4999999996120552,-3.708450200071117e-05,2.472300133380744e-05,0.0,0.031802753472813375,0.047704130209220055,7.0042306880449285e-06,-0.370340524521055,0.2468936830140366,-2.2736453875362384e-21,0.0003181369426649403,0.0004772054139974106,3.879447267444337e-08,-0.0037084502000711166,0.002472300133380744,0.0,0.007000000000000001,0.010500000000000002,6.959728397795141e-07,0.0,1.5021991003879456,1.001099555620058,-1.5,0.0,1.5015629359105525,1.0001453089039682,-1.5000001088367796,0.007411855445281666,-0.07880427674186492,-0.023747808814503772,0.0,0.0,49028962,0.01
0.03,0.0012086853510736273,0.0017653074852106393,6.527875808700428e-05,-0.013702295126473682,0.009382093430986086,0.00034994894305042436,1.5000095430142166,1.0000143145213347,-1.499999999034844,-0.00011120305649883107,7.41353709350411e-05,-1.8324331207368704e-09,0.05725208736805532,0.08110607691210281,0.00651699213074494,-0.6290439681192017,0.44408564674649764,0.034994894305042434,0.0006361644790145338,0.0009542467194696002,5.772111999221252e-08,-0.007411855449811991,0.004941236960123366,-1.8324331207368704e-07,0.012600000000000004,0.01785,0.001166905988226368,0.00020370527974965198,1.5043981139591733,1.0021991003879456,-1.5,0.0,1.5031894286080998,1.000433792902735,-1.500065278758087,0.013702295126473682,-0.0810913125760841,-0.024545921722408978,0.0,0.0,66392270,"[[20]
 [30]
 [30]
 [30]]"
0.04,0.0017811968001484528,0.002576353527453682,0.00013058466752807773,-0.01997649932117109,0.013811790949389152,0.0006993796658828287,1.5000216299159757,1.0000319676686475,-1.4999993491064083,-0.0002482257491010893,0.00016795669381872158,3.4872238106966435e-06,0.05725114490748255,0.08110460422430427,0.006530590944107345,-0.6274204194697411,0.4429697518403066,0.03494307228324043,0.0012086901758985237,0.0017653147312782023,6.49928435801589e-05,-0.013702269260225821,0.009382132288368046,0.00034890562438173804,0.012600000000000004,0.01785,0.001166905988226368,0.00020370527974965198,1.506596953900393,1.0032986234516004,-1.5,0.0,1.5048157571002445,1.0007222699241467,-1.5001305846675281,0.01997649932117109,-0.08300941439563116,-0.024637835484811025,0.0,-0.0001635363796597143,66392270,0
0.05,0.0025574745888445266,0.0036214382558911982,0.0002907962152263406,-0.028045115066643554,0.01980801779260754,0.0014586836180435663,1.500039442012133,1.0000577315893882,-1.4999980526466037,-0.00044798957341615937,0.0003060763350978719,1.0446735931025654e-05,0.07762777886960741,0.10450847284375166,0.01602115476982629,-0.8068615745472465,0.5996226843218389,0.07593039521607377,0.0017812096157372405,0.0025763920740501886,0.00012964598047026234,-0.019976382431507008,0.013811964127915029,0.000695951212032901,0.017080000000000005,0.022995,0.0028637340965283527,0.0004425936958247564,1.5087955334051681,1.0043981139591733,-1.5,0.0,1.5062380588163236,1.000776675703282,-1.5002907962152263,0.028045115066643554,-0.08457785160634104,-0.02432880188848103,0.0,-0.00050942479545195,63244169,0
0.06,0.0033340074470363506,0.004666824355525996,0.00045151216400600924,-0.036082067992986966,0.025781790601353223,0.0022168631585795617,1.500065017263579,1.0000939475382296,-1.4999951687363684,-0.000728436286558102,0.0005041630278974302,2.494483347537882e-05,0.07765328581918242,0.1045386099634797,0.01607159487796686,-0.8036952926343408,0.5973772808745684,0.07581795405359953,0.002557525144604593,0.0036215948841450438,0.00028839102353824214,-0.028044671314194258,0.019808669279955834,0.0014498097544353166,0.017080000000000005,0.022995,0.0028637340965283527,0.0004425936958247564,1.510993765677345,1.0054975610591372,-1.5,0.0,1.5076597582303086,1.0008307367036113,-1.500451512164006,0.036082067992986966,-0.0858412430854612,-0.023801174455494685,0.0,-0.0007623446773046612,63244169,0
0.07,0.004273906287068606,0.005876453536675966,0.000717441815340468,-0.0453510464571725,0.03299275179117794,0.003261193430070086,1.5000983584288063,1.0001406198900857,-1.499990704420167,-0.001089245884569357,0.0007619970139436135,4.692565807171237e-05,0.09398988400322557,0.12096291811499707,0.026592965133445876,-0.9268978464185532,0.7210961189824722,0.10443302714905241,0.003334116522725265,0.004667235185620743,0.00044643162014350595,-0.036080959801125495,0.025783398604618323,0.002198082459633355,0.020664000000000002,0.026596500000000002,0.004736548781181075,0.0006098155870773296,1.513191563934477,1.006596953900393,-1.5,0.0,1.5089176576474084,1.000720500363717,-1.5007174418153404,0.0453510464571725,-0.08686106440020998,-0.023109529728568324,0.0,-0.0009500168988180779,65796640,0
0.08,0.00521443563064968,0.007086766441221309,0.0009845344447125303,-0.05457006746398324,0.04016723018730515,0.004303977210074568,1.5001411001393992,1.0001993942110432,-1.4999836265843847,-0.0015427317727949935,0.0010919598585412728,7.917821026961612e-05,0.09405293435810741,0.12103129045453431,0.026709262937206237,-0.9219021006810736,0.7174478396127204,0.10427837800044823,0.00427417105928285,0.005877432095748723,0.0007077835782262393,-0.045348588822563644,0.03299628445976593,0.0032252552197903754,0.020664000000000002,0.026596500000000002,0.004736548781181075,0.0006098155870773296,1.5153888414112526,1.0076962816323767,-1.5,0.0,1.510174405780603,1.0006095151911554,-1.5009845344447126,0.05457006746398324,-0.08768101363856229,-0.02228801216619801,0.0,-0.0010904221458034188,65796640,0
0.09,0.00628616561004829,0.008412609599431933,0.001356783158629965,-0.06462000857077606,0.04831047049808054,0.005546308222957314,1.5001932494834058,1.0002702811091557,-1.4999739475267448,-0.002088386126426249,0.0014936980812176727,0.00012159828406638218,0.10717299793986101,0.13258431582106245,0.03722487139174348,-1.004994110679282,0.8143240310775398,0.1242331012882746,0.005214934400672115,0.007088689811254395,0.0009679057639768349,-0.05456543536312553,0.04017382226763999,0.004242007379676606,0.023531200000000002,0.029117550000000002,0.006594482949812684,0.0007268709109541307,1.5175855113629193,1.0087955334051681,-1.5,0.0,1.511299345752871,1.0003829238057362,-1.5013567831586299,0.06462000857077606,-0.08833216789712038,-0.021358547612844347,0.0,-0.001195409852768258,63677634,0
0.1,0.007358964943976082,0.009739526116478216,0.001731104443957287,-0.0745998204077667,0.056401095767109645,0.006786799535903443,1.500256120839671,1.00035444300222,-1.4999606493236297,-0.0027345048741592576,0.0019769175609501734,0.0001760523976659342,0.10727993339277914,0.13269165170462838,0.037432128532732194,-0.9979811836990646,0.8090625269029104,0.12404913129461287,0.0062871356265242675,0.008416189306432238,0.0013298203115214248,-0.06461187477330085,0.04832194797325007,0.005445411359955203,0.023531200000000002,0.029117550000000002,0.006594482949812684,0.0007268709109541307,1.5197814870687085,1.0098946983695956,-1.5,0.0,1.5124225221247325,1.0001551722531172,-1.5017311044439572,0.0745998204077667,-0.08883672349425507,-0.020335432496087092,0.0,-0.0012728949776629563,63677634,0
