time,vx,vy,vz,wx,wy,wz,x,y,z,phi,theta,psi,vxdot,vydot,vzdot,wxdot,wydot,wzdot,xdot,ydot,zdot,phidot,thetadot,psidot,fx,fy,fz,tauz,x_error,y_error,z_error,psi_error,solve_time,metadata
0.0,-0.00467,-0.08222,-0.050567,0.2167,0.0543472,-0.048587,-3.1111,0.2364,-1.0988,-0.0056608,0.175726,0.30198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1111,0.2364,-1.0988,0.30198,0.0,0.001
0.001,-0.004422466363784793,-0.08221966154293346,-0.050533308060421625,0.2167827487652906,0.05095754269856401,-0.0468618871338258,-3.1110882145529506,0.23631725598387768,-1.0988485127799945,-0.005452781468612468,0.17578007128941298,0.301930341382668,0.247533636215207,0.00033845706653982694,0.03369193957837742,0.08274876529059375,-3.389657301435993,1.7251128661741968,0.011785447049467702,-0.08274401612232526,-0.04851277999447743,0.20801853138753157,0.054071289412975204,-0.049658617332015494,0.0,0.0,0.0,0.01,-3.1110882145529506,0.23631725598387768,-1.0988485127799945,0.301930341382668,0.0,4000.0
0.002,-0.0041752618240447235,-0.0822195977760537,-0.05049961320490972,0.21686153979323033,0.04756734712928253,-0.04513702973016503,-3.1110762035201813,0.2362345943860493,-1.0988970518520167,-0.005244371236582653,0.17583077254819407,0.30188246457180806,0.2472045397400691,6.376687975965904e-05,0.033694855511906645,0.07879102793971889,-3.390195569281478,1.724857403660773,0.012011032769330587,-0.08266159782837751,-0.048539072022201396,0.20841023202981465,0.05070125878108265,-0.047876810859944684,0.0,0.0,0.0,0.01,-3.1110762035201813,0.2362345943860493,-1.0988970518520167,0.30188246457180806,0.0,0.0
0.003,-0.003928390680478644,-0.08221980902687756,-0.050465915871309254,0.21693636574251515,0.04417667752170357,-0.043412427751187636,-3.111063966827525,0.23615201490234658,-1.0989456172535679,-0.005035573199244524,0.17587810252693692,0.3018363679651019,0.24687114356607917,-0.00021125082386121413,0.03369733360046836,0.07482594928481237,-3.390669607578966,1.7246019789773928,0.012236692656346759,-0.08257948370272324,-0.0485654015511727,0.20879803733812838,0.047329978742846134,-0.046096606706184276,0.0,0.0,0.0,0.01,-3.111063966827525,0.23615201490234658,-1.0989456172535679,0.3018363679651019,0.0,0.0
0.004,-0.003681857229903314,-0.08222029561627733,-0.05043221649461744,0.21700721934023706,0.0407855981187947,-0.04168808115906918,-3.111051504405041,0.23606951722810118,-1.0989942090191709,-0.004826391278630292,0.175922060038832,0.3017920499519769,0.24653345057533008,-0.0004865893997680311,0.03369937669181706,0.07085359772192254,-3.3910794029088662,1.7243465921184546,0.012462422483577679,-0.08249767424539023,-0.04859176560310449,0.20918192061423294,0.04395751189510561,-0.04431801312500217,0.0,0.0,0.0,0.01,-3.111051504405041,0.23606951722810118,-1.0989942090191709,0.3017920499519769,0.0,0.0
0.005,-0.0034356657661908643,-0.08222105785845364,-0.05039851550697874,0.21707409338236294,0.03739417317586526,-0.03996398991599082,-3.111038816187015,0.23598710105814993,-1.0990428271803696,-0.004616829423364103,0.1759626439597106,0.30174950891370855,0.24619146371244993,-0.0007622421763095579,0.03370098763870025,0.06687404212587322,-3.3914249429294423,1.7240912430783573,0.0126882180261163,-0.08241616995125757,-0.04861816119863601,0.20956185526618892,0.04058392087858829,-0.042541038268342504,0.0,0.0,0.0,0.01,-3.111038816187015,0.23598710105814993,-1.0990428271803696,0.30174950891370855,0.0,0.0
0.006,-0.003189820580206238,-0.08222209606090847,-0.050364813337680114,0.21713698073421236,0.03400246695948808,-0.038240153984139325,-3.1110259021119537,0.23590476608683983,-1.0990914717657272,-0.004406891608554243,0.1759998532280876,0.301708743223524,0.2458451859846264,-0.0010382024548261353,0.03370216929862435,0.06288735184941134,-3.391706216377179,1.7238359318515006,0.012914075061099933,-0.08233497131010335,-0.04864458535755102,0.20993781480986004,0.03720926837698696,-0.040765690184587075,0.0,0.0,0.0,0.01,-3.1110259021119537,0.23590476608683983,-1.0990914717657272,0.301708743223524,0.0,0.0
0.007,-0.002944325959744606,-0.0822234105244182,-0.050331110413146495,0.2171958743309347,0.03061054374642093,-0.03651657332570704,-3.111012762122586,0.23582251200803317,-1.0991401428008263,-0.004196581835683836,0.17603368684520362,0.30166975124670664,0.2454946204616319,-0.0013144635097387843,0.03370292453362133,0.0588935967223385,-3.391923213067153,1.7235806584322846,0.013139989367722937,-0.08225407880665213,-0.048671035098996146,0.210309772870407,0.033833617116035546,-0.038991976817325864,0.0,0.0,0.0,0.01,-3.111012762122586,0.23582251200803317,-1.0991401428008263,0.30166975124670664,0.0,0.0
0.008,-0.002699186189468756,-0.08222500154300684,-0.05029740715693648,0.21725076717798533,0.02721846782252753,-0.03479324790289193,-3.110999396165859,0.23574033851511256,-1.099188840308268,-0.003985904132500062,0.1760641438750662,0.3016325313407025,0.24513977027584993,-0.0015910185886394718,0.03370325621001578,0.05489284705062342,-3.3920759238933993,1.723325422815111,0.013365956727249068,-0.08217349292062212,-0.04869750744169918,0.21067770318377368,0.030457029862581857,-0.03721990600413665,0.0,0.0,0.0,0.01,-3.110999396165859,0.23574033851511256,-1.099188840308268,0.3016325313407025,0.0,0.0
0.009000000000000001,-0.0024544055508464533,-0.08222686940391923,-0.050263703989738284,0.21730165235160084,0.02382630348169824,-0.03307017767789754,-3.1109858041929357,0.23565824530098578,-1.0992375643076722,-0.003774862552901898,0.17609122344448985,0.30159708185522716,0.2447806386223026,-0.0018678609123823717,0.03370316719819273,0.05088517361549822,-3.3921643408292894,1.7230702249943814,0.013591972923023624,-0.0820932141267723,-0.04872399940418733,0.21104157959816444,0.027079569423657537,-0.03544948547537431,0.0,0.0,0.0,0.01,-3.1109858041929357,0.23565824530098578,-1.0992375643076722,0.30159708185522716,0.0,0.0
