time,vx,vy,vz,wx,wy,wz,x,y,z,phi,theta,psi,vxdot,vydot,vzdot,wxdot,wydot,wzdot,xdot,ydot,zdot,phidot,thetadot,psidot,fx,fy,fz,tauz,x_error,y_error,z_error,psi_error,solve_time,metadata
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.899254083633423,-0.020375221967697144,-0.6687375903129578,0.061803398622024996,-0.6095039898066554,-0.01192070281177049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.899254083633423,-0.020375221967697144,-0.6687375903129578,-0.01192070281177049,0.0,0.05
0.05,-0.0006051523770444275,0.011882843796124387,0.020188561932797243,0.10367767234864625,-0.05197960634020112,0.07446317286116613,-2.903289249420166,-0.017482226848602296,-0.6640197783112525,0.07202543416854806,-0.6233004728068046,0.008865933727568455,0.22460409133448753,-0.2397728760001727,-0.5730079734879908,0.10367767234864625,-0.05197960634020112,0.07446317286116613,-0.012836084037921868,0.010285803854337305,0.016690817973917027,0.050602187784425205,-0.06376502403025769,0.0934853858649419,0.0,0.0,0.0,0.0,-2.903289249420166,-0.017482226848602296,-0.6640197783112525,0.008865933727568455,0.0,557.0
0.1,0.008983889806394262,0.0309567586497512,0.031114156812049664,0.20067298305373912,-0.1046733249836382,0.13058738540862636,-2.905695773638498,-0.011513385600392683,-0.6571844012064647,0.07352612234335776,-0.6390677472666717,0.03175859730582277,-0.07430569035072881,-0.389932234596274,-0.3433642067845295,0.20067298305373912,-0.1046733249836382,0.13058738540862636,-0.013554614133001104,0.028171278745675443,0.032090082982381,0.016421725685937225,-0.17266903604769232,0.22596551170787244,0.0,0.0,0.0,0.0,-2.905695773638498,-0.011513385600392683,-0.6571844012064647,0.03175859730582277,0.0,0.0
0.15000000000000002,0.017482419971506877,0.042034472897173596,0.036007409394449456,0.23978793877955684,-0.1061761851004558,0.13186116035754156,-2.905385574529136,-0.007454641772811623,-0.6527546092612778,0.07017409561909146,-0.6452180221519509,0.041834182010059506,-0.28181967801037155,-0.19139530264147891,-0.4095835864543109,0.23978793877955684,-0.1061761851004558,0.13186116035754156,-0.011044923865160077,0.03897848645854287,0.041566244734361775,0.08588553430269016,-0.1075829141098409,0.150664563850312,0.0,0.0,0.0,0.0,-2.905385574529136,-0.007454641772811623,-0.6527546092612778,0.041834182010059506,0.0,0.0
0.2,0.018991695942031882,0.041844419945652314,0.03087139036597239,0.30314498222762987,-0.09834008878157798,0.12797308660094528,-2.9045456370540617,-0.005000381718091858,-0.6504841058272844,0.07197234166799799,-0.6514395894726794,0.05625247817301891,0.024920036349976936,0.5427891742009954,-0.004468440230195946,0.30314498222762987,-0.09834008878157798,0.12797308660094528,-0.007605083071313487,0.03915046798430198,0.038393831621232014,0.20067298305373912,-0.1046733249836382,0.13058738540862636,0.0,0.0,0.0,0.0,-2.9045456370540617,-0.005000381718091858,-0.6504841058272844,0.05625247817301891,0.0,0.0
0.25,0.05002158035125229,0.052983218639475096,0.020601044396534214,0.26073733938566723,-0.05293160572169445,0.12023389184682262,-2.9016154967620507,-0.0022901024937641047,-0.6483820945812946,0.06404123350863322,-0.6494226889495538,0.059280474780973896,7.254644280146163,3.4104102799077882,-2.4594522012887716,0.26073733938566723,-0.05293160572169445,0.12023389184682262,0.022256848222457156,0.05296785740641708,0.04932364318903416,0.22637426274512099,-0.11362149408462217,0.15258252240892567,0.0,0.0,0.0,0.0,-2.9016154967620507,-0.0022901024937641047,-0.6483820945812946,0.059280474780973896,0.0,0.0
0.30000000000000004,0.03722804849021053,0.034866173684191724,0.015808293743639915,0.24333339661966594,-0.019392200422228077,0.06422519301687916,-2.8958585631667852,-0.001348326787085542,-0.6479769620809384,0.053780567653662695,-0.6397961024577586,0.05465910621873779,0.17461745859847866,-0.273270392987429,-0.1624399166312904,0.24333339661966594,-0.019392200422228077,0.06422519301687916,0.017437132101472255,0.03497084432223796,0.03639321755927192,0.25155825571831886,-0.11702399123389831,0.15238146505895736,0.0,0.0,0.0,0.0,-2.8958585631667852,-0.001348326787085542,-0.6479769620809384,0.05465910621873779,0.0,0.0
0.35000000000000003,0.07812338466367708,0.019652997300786415,-0.0167763956591415,0.013790113554040534,0.10661062992863449,-0.08406131233352852,-2.8881317647349567,-0.0017740649230741686,-0.6475434136505382,0.03884256463477882,-0.6251559867235543,0.03850640645346962,11.802968185885808,-3.7211294699511672,-9.06499346916108,0.013790113554040534,0.10661062992863449,-0.08406131233352852,0.07187697294094947,0.02307379202832239,0.032745257180321216,0.2564860883500314,-0.10035075312330947,0.12424287948616662,0.0,0.0,0.0,0.0,-2.8881317647349567,-0.0017740649230741686,-0.6475434136505382,0.03850640645346962,0.0,0.0
0.4,0.06598673989269035,0.01723308862313019,-0.011339247025792351,-0.06665995195959074,0.12258223324042913,-0.10927372401845278,-2.87841114587025,-0.003961224837528363,-0.6481830753406023,0.019631212376658734,-0.6054170199702429,0.011331054291197806,1.0037515393105343,-0.47024243244601266,-0.8360181645058025,-0.06665995195959074,0.12258223324042913,-0.10927372401845278,0.060316401328848954,0.018136955023929063,0.028509477397303796,0.3249180050561477,-0.10544227703710114,0.14997283424456428,0.0,0.0,0.0,0.0,-2.87841114587025,-0.003961224837528363,-0.6481830753406023,0.011331054291197806,0.0,0.0
0.45,0.06914155292218437,0.003192973219368171,-0.02400987817783781,-0.2120392191045345,0.1831351583443941,-0.15252998653093663,-2.867562306714088,-0.009158346711118743,-0.6500867441924784,0.002658447439772037,-0.5807767529837888,-0.01947962072959724,-0.5457040671910139,-0.22607079207239703,-0.014279999255973745,-0.2120392191045345,0.1831351583443941,-0.15252998653093663,0.07102372870401147,0.0018737185432164878,0.017870165314994184,0.21963525430540756,-0.09516210386548683,0.1386697751040823,0.0,0.0,0.0,0.0,-2.867562306714088,-0.009158346711118743,-0.6500867441924784,-0.01947962072959724,0.0,0.0
