time,vx,vy,vz,wx,wy,wz,x,y,z,phi,theta,psi,vxdot,vydot,vzdot,wxdot,wydot,wzdot,xdot,ydot,zdot,phidot,thetadot,psidot,fx,fy,fz,tauz,x_ref,y_ref,z_ref,psi_ref,x_error,y_error,z_error,psi_error,solve_time,metadata
0.05,0.010647603733292745,0.018219861799402555,0.04386203251130481,-0.013420808532531706,-0.05271665174932132,-0.018905818741276607,-1.541897145283842,-0.259703818203184,-1.3471499713348745,0.0005839473323119044,-0.005851414654358598,-0.09090934934535763,0.0182356123970923,0.011714151203706414,0.06920020208763739,0.7092356009435765,-1.861272029944014,0.05066309656049114,0.011999547964651667,0.017175802370638715,0.04393421658391218,-0.013310001373445927,-0.052705602759486055,-0.01893692345453687,-0.004112290325351732,0.002268535077761189,-0.011204954337529448,5.340357458468436e-07,-1.5423692116260526,-0.2604045526176691,-1.348958866417408,-0.09015493909002557,-1.5530168153593453,-0.27862441441707164,-1.3928208989287127,-0.07673413055749387,3687067,1220.0
0.1,0.010647603733292745,0.018219861799402555,0.04386203251130481,-0.013420808532531706,-0.05271665174932132,-0.018905818741276607,-1.541897145283842,-0.259703818203184,-1.3471499713348745,0.0005839473323119044,-0.005851414654358598,-0.09090934934535763,0.0182356123970923,0.011714151203706414,0.06920020208763739,0.7092356009435765,-1.861272029944014,0.05066309656049114,0.011999547964651667,0.017175802370638715,0.04393421658391218,-0.013310001373445927,-0.052705602759486055,-0.01893692345453687,-0.004227624802243347,0.0023866472441095455,-0.050680267924781114,1.2584492161173437e-05,-1.542346079859645,-0.25451412695113557,-1.349583866417408,-0.09015493909002557,-1.5529936835929377,-0.2727339887505381,-1.3934458989287128,-0.07673413055749387,8846163,0.05
0.15000000000000002,-0.0015140603515885359,0.01956508099566513,0.04548496950444529,-0.01925339944679438,-0.07647089690577022,-0.03754124734517414,-1.5416875049547398,-0.2585374789854905,-1.344455770043405,-6.902260488776229e-06,-0.009832472328282583,-0.0926144273382346,-0.06614043362036097,0.013799904670770812,0.0687699620982951,-0.19296433372121133,0.5611886670155867,-0.26890261593493514,-0.00014335475859628103,0.019662921117448797,0.045467749080834,-0.01888426946530882,-0.07647115602341688,-0.037542534267014316,-0.00414329961411658,0.00251973044817663,-0.054906500393830056,2.0942930005022032e-05,-1.542276685987298,-0.2486240646338036,-1.350208866417408,-0.09015493909002557,-1.5407626256357094,-0.2681891456294687,-1.3956938359218531,-0.07090153964323119,8261855,gamma_th = 10
0.2,-0.006346836182664296,0.012677816888197945,0.04042890505845919,-0.04907256362636544,-0.043523450467153404,-0.010433447569912532,-1.5417913981090456,-0.2581062259427668,-1.3423069826075442,-0.002086482399286425,-0.013106281194834174,-0.09241927384485156,-0.05105351206246233,0.07256842384869223,0.002692457529204834,-0.21538377361402347,0.4698992746559702,-0.21498803345049639,-0.005668667646283568,0.013342231708687575,0.04031571399533723,-0.048937002656769236,-0.04354512491842505,-0.010343502374732924,-0.004057405167637202,0.0033366039677596372,-0.05313682357726809,1.040908447709624e-05,-1.542161034289553,-0.24273472899246148,-1.350833866417408,-0.09015493909002557,-1.5358141981068887,-0.2554125458806594,-1.3912627714758672,-0.041082375463660135,7883658,gamma_ph = 10
0.25,-0.010435828192344938,0.010683616443591747,0.04497232029036766,-0.05171232021624296,0.013771050727574136,-0.02477505735518394,-1.542165575161832,-0.2575908354753016,-1.3402036952416727,-0.004340931602900503,-0.013791288643194611,-0.09371489957886703,-0.026014411338756427,-0.029742451657028875,-0.0064193083633428735,-0.2531633177184397,0.6666103980433575,0.03303610528610276,-0.009987881822358166,0.01186544671045595,0.04477732856856556,-0.05136979732270469,0.013663374487417876,-0.02483696488388326,-0.004147963402332603,0.0035774880571119287,-0.059316901858430006,3.000001804750696e-05,-1.5419991319003512,-0.23684648330907287,-1.3514588664174079,-0.09015493909002557,-1.5315633037080063,-0.24753009975266463,-1.3964311867077754,-0.038442618873782614,7838377,gamma_psi = 1
0.30000000000000004,-0.02070943152876417,0.0020588829198149956,0.026438611699949873,-0.07983679607006892,-0.0028869785184080974,-0.000551203529120924,-1.5429993141980476,-0.2574231317497431,-1.3388098469560927,-0.0076026105381926615,-0.014409868391645242,-0.09382516141352257,-0.07761371372656646,0.0031549601731266524,0.02010619493766709,-0.33077272538776437,0.49745523388424473,-0.1786680084935147,-0.02078353875196201,0.004225568572282703,0.02612104188062632,-0.07982916927441276,-0.0028910856309728107,-0.0005292941891422011,-0.0037711071500505845,0.003972253999892096,-0.045274190025498026,7.4784466001583705e-06,-1.5417909888065946,-0.23095969079836765,-1.352083866417408,-0.09015493909002557,-1.5210815572778305,-0.23301857371818263,-1.3785224781173577,-0.01031814301995665,7847181,k1 = [[0.3 0.3 5.  0.3]]
0.35000000000000003,-0.023038272430796262,0.003919473549027346,0.023696615483914957,-0.06965766701195496,0.03169122703356974,-0.03173945600611098,-1.544013094046593,-0.25707376966993306,-1.3374235325277215,-0.010883982292108378,-0.01345847870843983,-0.0956773866052617,-0.01334194004660587,-0.009331438816490682,-0.04309359099149648,0.19440050024270797,0.06200142646334629,0.19679783285819663,-0.022848640526567137,0.006389135563447259,0.023340360488416572,-0.06922585935079327,0.031343905107016526,-0.03208540180449197,-0.0037218098506719135,0.003931570476059626,-0.04470553426030681,4.414497912164845e-05,-1.54153661784753,-0.2250747145854371,-1.3527088664174078,-0.09015493909002557,-1.5184983454167338,-0.22899418813446445,-1.3764054819013227,-0.020497272078070616,7887935,k2 = [[0.1 0.1 5.  0.3]]
0.4,-0.027181900649262604,0.0008597752151845436,0.015686627008488652,-0.06206932378988583,0.0401834566756369,-0.015399292117053608,-1.5452652313571176,-0.25694950528531485,-1.336783388637141,-0.013790723984602396,-0.012434925721619795,-0.0961913674847204,-0.024896689510624213,0.06357578645118402,0.0490512035581326,0.28264732648316204,0.520454405835322,-0.28687115573164124,-0.027144797858125753,0.0037001923214355016,0.015334070863810279,-0.06187095201328452,0.03996727495384117,-0.01595320256985878,-0.00356902887553537,0.004092615486305196,-0.03901688379831179,2.8334341460280126e-05,-1.541236034713956,-0.2191919176833348,-1.353333866417408,-0.09015493909002557,-1.5140541340646934,-0.22005169289851934,-1.3690204934258965,-0.02808561530013974,7885350,theta_limit = 0.17453292519943295
0.45,-0.033212277826961956,0.0026085420188529823,0.008349101290491151,-0.0636897297968918,0.03284634853713717,-0.026441681475508384,-1.5470424026308307,-0.2564649960682228,-1.3361382498163659,-0.01693616780910357,-0.009365760472313949,-0.09785879568985778,0.006577422122921218,0.08853691201564237,0.020215176310460055,0.13968048068185054,-0.36576113422518886,-0.29974648882303023,-0.03286068676108179,0.005988792668079607,0.00799230944390491,-0.06343690162329021,0.03239383858200179,-0.02699533803240693,-0.003447085223421519,0.004094600852517915,-0.033925471598784764,3.9654701655169144e-05,-1.5408892579472562,-0.21331166297068405,-1.3539588664174078,-0.09015493909002557,-1.5076769801202943,-0.21592020498953704,-1.3623079677078989,-0.02646520929313377,7911278,phi_limit = 0.17453292519943295
0.5,-0.04029539449294716,0.0010385913487963615,-0.0007992030580269394,-0.07256282922648526,0.07217750243851774,-0.005113725822678004,-1.5491070334467523,-0.2562308369004332,-1.3361284618604725,-0.021106072631764283,-0.005606768113058781,-0.09831104558815051,0.08323938064764247,0.057649261893293856,-0.011093724186194477,0.21067929823865383,0.13935726622355965,-0.3821845854253897,-0.03999534927173405,0.00497115099449724,-0.00104685685836309,-0.07252562312306965,0.07205350405718516,-0.006635961680652833,-0.0034211466198089766,0.004003109036522111,-0.02685799251375527,1.4817311175020829e-05,-1.540496308938255,-0.2074343131692941,-1.354583866417408,-0.09015493909002557,-1.500200914445308,-0.20847290451809045,-1.353784663359381,-0.017592109863540317,7857016,psi_limit = 0.08726646259971647
